yyyymm,EQPREM,DP,DY,EP,SVAR,BM,NTIS,TBL,LTR,TMS,DFY,DFR,INFL
193509,0.06924228210403204,-3.2711232094214906,-3.247551624844867,-2.7245795030534206,0.0024288238,0.6117343845,0.0080266211,0.002,0.0009,0.0262,0.0194,-0.0009,0.0
193510,0.050538935337754,-3.321031209577079,-3.248650353569432,-2.7969603590610674,0.0032591933,0.5775010734,0.0029507271,0.002,0.0061,0.0259,0.020199999999999996,-0.0019000000000000006,0.0
193511,0.03891207340120446,-3.3376245776445432,-3.2990523028583034,-2.835532633847307,0.0031496826,0.5669523676,0.0022194292,0.0016,0.001,0.0264,0.0196,0.0059,0.0072992701
193512,0.06926933894906545,-3.3525135948131792,-3.3161183724235794,-2.8719278562369066,0.0028973664,0.5599111913,0.0086888346,0.0015,0.007,0.026099999999999998,0.0186,0.0013,0.0
193601,0.022112471397778267,-3.39492776864856,-3.3314601856153465,-2.922323357702767,0.0018671591,0.5398354405,0.0089077281,0.002,0.0055,0.026500000000000003,0.016300000000000002,0.002700000000000001,0.0
193602,0.023644851528470342,-3.3909408814949664,-3.3743084814458246,-2.926052352916001,0.0022225935,0.5290762473,0.0137604535,0.002,0.0081,0.026099999999999998,0.0148,-0.0026999999999999993,0.0
193603,-0.08096328057424777,-3.39584977533556,-3.370738174177447,-2.938424928296685,0.0050044798,0.5276960471,0.0134560371,0.002,0.0106,0.025500000000000002,0.0157,-0.0023999999999999994,-0.0072463768
193604,0.05154391285014604,-3.2827851564295614,-3.362995438464613,-2.820943251464402,0.0057607721,0.5663485961,0.019252871,0.002,0.0035,0.0254,0.0162,-0.0009000000000000002,0.0
193605,0.03182374298916026,-3.2958993679575355,-3.251163474116144,-2.82974713607973,0.0029079379,0.5404874214,0.0186275943,0.002,0.004,0.025300000000000003,0.0167,0.0,0.0
193606,0.07057035299058485,-3.295163238494855,-3.2650652073375754,-2.8251596092491194,0.0015684951,0.523178388,0.0208134501,0.002,0.0021,0.025300000000000003,0.016600000000000004,0.006100000000000001,0.0072992701
193607,0.013925190660535873,-3.325288418476831,-3.2594451558927755,-2.868530015981116,0.001568553,0.5004246027,0.0217469882,0.0015,0.006,0.025599999999999998,0.016099999999999996,-0.0049,0.0072463768
193608,0.0046054553758188115,-3.299596268928235,-3.2908022424056615,-2.855345135784914,0.0026195074,0.496121234,0.0196660344,0.002,0.0111,0.024399999999999998,0.015300000000000001,-0.0044,0.0071942446
193609,0.07341158506125976,-3.2675098488234036,-3.266259848660643,-2.835088930726711,0.0011837587,0.4915981409,0.021398483,0.0016,-0.0031,0.0252,0.014399999999999996,0.0098,0.0
193610,0.010409539478524936,-3.281363380753038,-3.2090862975382133,-2.8793576797350253,0.0022244051,0.4657070279,0.021804227,0.0013,0.0006,0.0256,0.013600000000000001,0.0019000000000000002,0.0
193611,-0.003937348231588474,-3.230371040571314,-3.2263118874188526,-2.8562723091367364,0.0028304004,0.4502783539,0.022840762,0.0011,0.0205,0.0246,0.013699999999999997,-0.009600000000000001,0.0
193612,0.0359924309300472,-3.1722499835281455,-3.1780538303479458,-2.8239432892599297,0.0014983745,0.4585881045,0.0252247216,0.0012,0.0038,0.0243,0.0143,-0.0028,0.0
193701,0.018214270332522847,-3.195593176714749,-3.1584566613958094,-2.832092267705617,0.0015725492,0.4465735628,0.0250032496,0.0017,-0.0013,0.0241,0.013900000000000003,0.0036999999999999997,0.0071428571
193702,-0.003717158028103393,-3.1964643921911255,-3.1819875246589704,-2.8183982582710754,0.0013067889,0.4407757653,0.0252076774,0.0015,0.0086,0.023799999999999998,0.0131,-0.0132,0.0
193703,-0.08418402449199258,-3.1735994799985656,-3.1830413718589847,-2.7815573922225414,0.0031144795,0.4586663806,0.0335068293,0.0038,-0.0411,0.0247,0.013600000000000001,0.029699999999999997,0.0070921986
193704,-0.0060152562729366,-3.047570291347676,-3.134378766845284,-2.6768912993249274,0.0054667794,0.4906180065,0.0281072644,0.0056,0.0039,0.0228,0.014199999999999997,0.0029,0.0070422535
193705,-0.05590430643912826,-2.9994291354353173,-3.009829963364829,-2.6489461617445063,0.0035930723,0.4893824051,0.0282780631,0.0041,0.0053,0.0241,0.015099999999999995,-0.0013,0.006993007
193706,0.09409253111598788,-2.908720896564361,-2.963061491264442,-2.5773637606099187,0.0029841706,0.5049610206,0.0312661665,0.0036,-0.0018,0.024900000000000002,0.016499999999999994,0.0071,0.0
193707,-0.052839288538879516,-3.0345196295011085,-2.9368509580374904,-2.6608598351942447,0.0029822171,0.4646486604,0.027224932,0.0028,0.0138,0.0249,0.016599999999999997,-0.009899999999999999,0.0069444444
193708,-0.15056948415993238,-3.0066394211125482,-3.063589999557381,-2.5900178199763886,0.0021407944,0.481934502,0.0310644128,0.0029,-0.0104,0.0257,0.016800000000000002,0.0087,0.0
193709,-0.10878946299846269,-2.8831305966396052,-3.036450366572776,-2.422914973760032,0.0158211464,0.5531474413,0.0358467256,0.0031,0.0045,0.025300000000000003,0.018799999999999997,-0.0019999999999999996,0.0068965517
193710,-0.08825444627536408,-2.7629268113280445,-2.8702271918036972,-2.3405121449061066,0.0317222407,0.6174176776,0.0409585636,0.002,0.0042,0.026299999999999997,0.0225,0.0025000000000000005,0.0
